Feature,Importance
Tenure,0.19931824517076702
CashbackAmount,0.1020511201311052
WarehouseToHome,0.07207923536422244
Complain,0.06358030081753425
DaySinceLastOrder,0.061416582186101604
NumberOfAddress,0.06015784090939821
OrderAmountHikeFromlastYear,0.057540327873282004
SatisfactionScore,0.05088712382262809
NumberOfDeviceRegistered,0.038709952526018276
OrderCount,0.03268667889679428
CouponUsed,0.027033946034518974
CityTier,0.025690910509266463
MaritalStatus_Single,0.0242557132261781
HourSpendOnApp,0.018143261078312822
Gender_Male,0.01783803719605814
PreferredPaymentMode_Debit Card,0.015837970064458886
PreferedOrderCat_Mobile Phone,0.015455194211185417
PreferedOrderCat_Laptop & Accessory,0.0152797098267495
MaritalStatus_Married,0.014347336390625595
PreferredLoginDevice_Mobile Phone,0.014207305995835794
PreferredPaymentMode_Credit Card,0.013408084125408894
PreferredLoginDevice_Phone,0.012952465957654582
PreferredPaymentMode_E wallet,0.012038398799497148
PreferredPaymentMode_COD,0.011830071965080935
PreferedOrderCat_Mobile,0.008765782556251954
PreferredPaymentMode_UPI,0.006406805354157346
PreferedOrderCat_Grocery,0.003297136469728473
PreferredPaymentMode_Cash on Delivery,0.002963532005037241
PreferedOrderCat_Others,0.0018209305361424454
